Date,Region,Product,Revenue,Units_Sold
2024-01-01,North,Smartphone,55000,25
2024-01-01,South,Laptop,78000,12
2024-01-02,East,Headphones,15000,40
2024-01-02,West,Tablet,42000,18
2024-01-03,North,Smartwatch,30000,20
2024-01-03,South,Smartphone,60000,28
2024-01-04,East,Laptop,82000,10
2024-01-04,West,Headphones,18000,45
2024-01-05,North,Tablet,45000,15
2024-01-05,South,Smartwatch,32000,22
2024-01-06,East,Smartphone,58000,26
2024-01-06,West,Laptop,79000,11
2024-01-07,North,Headphones,17000,38
2024-01-07,South,Tablet,40000,17
2024-01-08,East,Smartwatch,31000,21
2024-01-08,West,Smartphone,62000,29
